day,month,year,hour,minute,temp
21,2,2018,16,57,25.1886363636
21,2,2018,16,58,25.1904545455
21,2,2018,16,59,25.1955555556
21,2,2018,17,0,25.2073333333
21,2,2018,17,1,25.2064444444
21,2,2018,17,2,25.2217391304
21,2,2018,17,3,25.2388636364
21,2,2018,17,4,25.2493181818
21,2,2018,17,5,25.2606818182
21,2,2018,17,6,25.2672727273
21,2,2018,17,7,25.276
21,2,2018,17,8,25.2826086957
21,2,2018,17,9,25.2886363636
21,2,2018,17,10,25.292972973
21,2,2018,17,11,25.2986363636
21,2,2018,17,12,25.2990909091
21,2,2018,17,13,25.2982222222
21,2,2018,17,14,25.2993181818
21,2,2018,17,15,25.3002272727
21,2,2018,17,16,25.3061363636
21,2,2018,17,17,25.3015909091
21,2,2018,17,18,25.3040909091
21,2,2018,17,19,25.2966666667
21,2,2018,17,20,25.2915909091
21,2,2018,17,21,25.2904444444
21,2,2018,17,22,25.2838636364
21,2,2018,17,23,25.2753333333
21,2,2018,17,24,25.332
21,2,2018,17,25,25.2406666667
21,2,2018,17,26,25.2247727273
21,2,2018,17,27,25.1973333333
21,2,2018,17,28,25.1737777778
21,2,2018,17,29,25.1471111111
21,2,2018,17,30,25.1215555556
21,2,2018,17,31,25.0936363636
21,2,2018,17,32,25.0645454545
21,2,2018,17,33,25.0308888889
21,2,2018,17,34,24.9997777778
21,2,2018,17,35,24.9724444444
21,2,2018,17,36,24.9395454545
21,2,2018,17,37,24.9054545455
21,2,2018,17,38,24.8666666667
21,2,2018,17,39,24.8344444444
21,2,2018,17,40,24.8028888889
21,2,2018,17,41,24.7740909091
21,2,2018,17,42,24.7440909091
21,2,2018,17,43,24.712
21,2,2018,17,44,24.6877272727
21,2,2018,17,45,24.6591111111
21,2,2018,17,46,24.6286666667
21,2,2018,17,47,24.6156818182
21,2,2018,17,48,24.5667391304
21,2,2018,17,49,24.5363043478
21,2,2018,17,50,24.5095652174
21,2,2018,17,51,24.482173913
21,2,2018,17,52,24.4543478261
21,2,2018,17,53,24.4291304348
21,2,2018,17,54,24.4008695652
21,2,2018,17,55,24.377173913
21,2,2018,17,56,24.3508695652
21,2,2018,17,57,24.3260869565
21,2,2018,17,58,24.2986956522
21,2,2018,17,59,24.2669565217
